File hm/lorem1s (another copy).txt
R: 56 - C: 15
R: 56 - C: 32
R: 56 - C: 41
R: 56 - C: 50
R: 56 - C: 58
R: 56 - C: 62
R: 56 - C: 103
R: 56 - C: 113
R: 56 - C: 127
R: 56 - C: 137
R: 56 - C: 140
R: 56 - C: 184
R: 56 - C: 209
R: 56 - C: 244
R: 56 - C: 249
R: 56 - C: 272
R: 56 - C: 290
R: 56 - C: 295
R: 56 - C: 305
R: 56 - C: 321
R: 56 - C: 329
R: 56 - C: 338
R: 56 - C: 352
R: 56 - C: 420
R: 56 - C: 425
R: 56 - C: 429
R: 56 - C: 432
R: 56 - C: 457
R: 56 - C: 464
R: 56 - C: 525
R: 56 - C: 534
R: 56 - C: 539
R: 56 - C: 541
R: 56 - C: 553
R: 56 - C: 563
R: 56 - C: 568
R: 56 - C: 570
R: 56 - C: 576
R: 56 - C: 585
R: 56 - C: 599
R: 56 - C: 604
R: 56 - C: 633
R: 56 - C: 641
R: 56 - C: 652
R: 56 - C: 657
R: 56 - C: 659
R: 56 - C: 681
R: 56 - C: 690
R: 56 - C: 693
R: 56 - C: 698
R: 56 - C: 707
R: 56 - C: 711
R: 56 - C: 725
R: 58 - C: 11
R: 58 - C: 33
R: 58 - C: 36
R: 58 - C: 39
R: 58 - C: 43
R: 58 - C: 47
R: 58 - C: 54
R: 58 - C: 59
R: 58 - C: 61
R: 58 - C: 97
R: 58 - C: 114
R: 58 - C: 154
R: 58 - C: 158
R: 58 - C: 161
R: 58 - C: 164
R: 58 - C: 172
R: 58 - C: 214
R: 58 - C: 229
R: 58 - C: 240
R: 58 - C: 247
R: 58 - C: 252
R: 58 - C: 274
R: 58 - C: 282
R: 58 - C: 284
R: 58 - C: 320
R: 58 - C: 345
R: 58 - C: 372
R: 58 - C: 378
R: 58 - C: 390
R: 58 - C: 406
R: 58 - C: 411
R: 58 - C: 417
R: 58 - C: 437
R: 58 - C: 440
R: 58 - C: 497
R: 58 - C: 502
R: 58 - C: 532
R: 58 - C: 588
R: 58 - C: 597
R: 58 - C: 612
R: 58 - C: 619
R: 58 - C: 708
R: 58 - C: 711
R: 58 - C: 718
R: 58 - C: 735
R: 58 - C: 759
R: 58 - C: 843
R: 58 - C: 853
R: 58 - C: 873
R: 60 - C: 3
R: 60 - C: 42
R: 60 - C: 47
R: 60 - C: 49
R: 60 - C: 73
R: 60 - C: 83
R: 60 - C: 120
R: 60 - C: 133
R: 60 - C: 160
R: 60 - C: 166
R: 60 - C: 178
R: 60 - C: 197
R: 60 - C: 203
R: 60 - C: 240
R: 60 - C: 256
R: 60 - C: 263
R: 60 - C: 272
R: 60 - C: 275
R: 60 - C: 287
R: 60 - C: 300
R: 60 - C: 318
R: 60 - C: 332
R: 60 - C: 341
R: 60 - C: 346
R: 60 - C: 349
R: 60 - C: 394
R: 60 - C: 428
R: 60 - C: 451
R: 60 - C: 454
R: 60 - C: 491
R: 60 - C: 495
R: 60 - C: 514
R: 60 - C: 578
R: 60 - C: 583
R: 60 - C: 591
R: 62 - C: 31
R: 62 - C: 45
R: 62 - C: 51
R: 62 - C: 60
R: 62 - C: 66
R: 62 - C: 96
R: 62 - C: 107
R: 62 - C: 149
R: 62 - C: 152
R: 62 - C: 155
R: 62 - C: 162
R: 62 - C: 191
R: 62 - C: 196
R: 62 - C: 203
R: 62 - C: 208
R: 62 - C: 212
R: 62 - C: 229
R: 62 - C: 253
R: 62 - C: 283
R: 62 - C: 307
R: 62 - C: 314
R: 62 - C: 323
R: 62 - C: 370
R: 62 - C: 386
R: 62 - C: 403
R: 62 - C: 409
R: 62 - C: 412
R: 62 - C: 416
R: 62 - C: 439
R: 62 - C: 443
R: 62 - C: 449
R: 64 - C: 66
R: 64 - C: 78
R: 64 - C: 86
R: 64 - C: 99
R: 64 - C: 110
R: 64 - C: 116
R: 64 - C: 119
R: 64 - C: 143
R: 64 - C: 204
